"registry_id","year","state","prev_yr_se_viols","prev_yr_se_hpviols","region_code","pct_white","pct_black","pct_native","pct_asian","pct_hi_pi","pct_other","earnings_median","total_population"
110070047545,2021,"CA",0,0,"40165",97.3535525824849,1.27125419753744,0.81818666382389,1.00474388358829,0.0612973722083045,1.00740898672779,NA,37522
110070741993,2021,"CA",0,0,"34484",96.0130913418625,7.11097887533472,0.624814043439453,1.2793811365665,0,0,28750,3361
110071222058,2021,"FL",0,0,"40484",93.9667128987517,5.14909847434119,0.147364771151179,0.312066574202497,0,2.80859916782247,NA,11536
110020049035,2021,"FL",0,0,"63071",100,0,0.990990990990991,0,0,0,24441,1110
110070868127,2021,"FL",0,0,"64784",99.615975422427,0,0.384024577572965,0.537634408602151,0,0,29300,1302
110070600124,2021,"CA",0,0,"32344",62.5278219395866,36.9634340222576,0.763116057233704,0.771065182829889,0.095389507154213,0.771065182829889,36415,12580
110070528686,2021,"FL",0,0,"64013",86.9616140244824,10.631706211274,1.05788121505214,2.42557050022669,0,3.79325978540124,47285,26468
110070603106,2021,"CA",0,0,"34450",96.6227198844139,1.87827343326711,1.56221780747697,1.97760520137258,0,3.12443561495395,33563,11074
110070838549,2021,"FL",0,0,"41097",98.0053005998047,2.10629097503138,0.920630492397824,2.55265727437578,0.125540521690612,3.26405356395592,34863,7169
110070743455,2021,"CA",0,0,"33597",92.1542699724518,5.96143250688705,1.78512396694215,0.110192837465565,0.0881542699724518,5.97245179063361,27275,9075
110039142950,2021,"CA",0,0,"32707",80.553010294831,11.4967929714871,1.46876515927343,4.49522988195979,0.557861262329542,8.43529348353366,36133,37106
110069999727,2021,"CA",0,0,"32260",89.9253796550338,6.51311535571361,0.994355416528319,4.92983590514304,0.23941422155427,2.26132848679727,63438,57223
110071144487,2021,"CA ",0,0,"34746",76.6762974852863,12.8196896736223,0.436597110754414,4.73622257891921,0.0727661851257357,10.2685928303906,29329,46725
110071064630,2021,"CA",0,0,"40312",100,1.20274914089347,1.94730813287514,0,0,0,29529,5238
110063617634,2021,"Ca",0,0,"33023",40.7806388744277,55.7059522379293,1.23610054329689,1.76070908921015,0.388450602699131,9.40958178153324,30585,74913
110071077220,2021,"FL",0,0,"40437",97.8767838496345,2.40167072746258,0.0522102332057083,0.678733031674208,0,1.49669335189697,28417,5746
110070829463,2021,"CA",0,0,"32210",52.6378148165938,43.5099348351666,1.10155787181581,4.52311190098788,0.15850905422931,3.51762012264438,32984,62457
110070940785,2021,"FL",0,0,"42234",73.0964467005076,26.7473643108161,0.50761421319797,0,0.0390472471690746,2.42092932448262,31250,2561
110071065776,2021,"AK",0,0,"32097",88.5103714927635,11.6934009091384,1.6981033491823,1.38460734625634,0.041799467056795,1.00841214274518,43081,19139
110070669721,2021,"California",0,0,"32725",74.7299305248785,11.7485241556564,0.584313882976587,2.57017790450183,0.0863419139793583,15.2604313079796,35767,49802
110040687575,2021,"FL",0,0,"59644",98.0387632671897,0.115366866635902,1.75357637286571,0.299953853253346,0.299953853253346,0.599907706506691,32826,4334
110070710643,2021,"CA",0,0,"34654",93.5549201810817,4.58263839250258,0.655229926137717,1.3263442141212,0.190612342149154,2.06496703994917,35904,25182
110070947518,2021,"MT",0,0,"99629",89.330129803406,2.64744548710277,11.6324402738111,4.07543406319416,0.906659413391359,1.15145745500703,47355,66177
110070893683,2021,"FL",0,0,"59044",97.0325203252033,2.95121951219512,1.47967479674797,0.878048780487805,0.439024390243902,0.544715447154472,36557,12300
110070667986,2021,"CA",0,0,"32963",97.419229019047,1.30663719690568,0.357537541441851,1.25463173633231,0.0650068257167002,0.643567574595333,63636,15383
110070877029,2021,"FL",0,0,"42702",86.6157990993294,10.9457041159466,0.930168531592299,3.5908831684726,0.3598749287133,1.3628050579143,42002,50851
110070792358,2021,"WY",0,0,"99780",58.6549707602339,0.116959064327485,41.9883040935673,0.526315789473684,0,0,39112,1710
110071074774,2021,"FL",0,0,"41164",98.9043597352203,0.0228258388495777,1.68150346191889,0,0,0.30434451799437,31090,13143
110041017841,2021,"ca",0,0,"32925",74.9086479902558,13.8855054811206,5.23751522533496,8.03897685749087,0.852618757612667,7.97807551766139,34879,1642
110070793667,2021,"FL",0,0,"64062",99.6557659208262,0.907526208731028,0.500704115161946,0.391175089970271,0.18776404318573,1.65858238147395,42614,6391
110070945877,2021,"CA",0,0,"32256",63.477643422509,20.0613996616753,1.13401415951381,16.0182110561159,0.856253785268258,6.043898669674,43613,47883
110070928845,2021,"FL",0,0,"41101",94.0427301554296,4.02869470291625,0.914903571242917,2.67193429328897,0,2.55757134688361,31130,19237
110070930748,2021,"FL",0,0,"65251",91.2829462567683,7.64755895645948,1.42748467355797,0.903924464133888,0.156620575468743,1.25296460374994,33495,22347
110057288689,2021,"FL",0,0,"64843",86.7959617428268,0.717321997874601,6.61530286928799,2.57704569606801,1.40807651434644,4.27736450584485,31489,3764
110071068145,2021,"WY",0,0,"99726",66.6666666666667,0,38.8888888888889,0,0,0,NA,18
110070826449,2021,"FL",0,0,"42420",89.8215362037789,10.4326633297518,0.518881522052465,0.804528420556094,0.0445504337115753,2.61537252024424,35913,38159
110070928148,2021,"FL",0,0,"41179",99.5238743028159,0.952251394368113,0.625765202013332,0.666575976057679,0,0.0952251394368113,29414,7351
110070927126,2021,"CA",0,0,"33310",15.6885278383198,83.1134007000859,0.64592827422231,0.754243444950796,0.232481342051384,2.64051251568589,27277,75705
110070867334,2021,"CA",0,0,"32720",82.6579065253098,13.1013886814992,0.409138420188144,1.8903986859788,0.149320591309542,4.54531879946245,36942,33485
110030768097,2021,"FL",0,0,"65739",98.3160621761658,0,0,1.6839378238342,0,0,38239,772
110070882245,2021,"CA",0,0,"32828",78.4718149700342,12.843105001931,0.450559981691531,10.5559767139159,0,4.61859739962525,46450,69913
110070742149,2021,"FL",0,0,"41653",96.7482014388489,2.98321342925659,0.748201438848921,0.258992805755396,0,0.393285371702638,33023,10425
110011092227,2021,"FL",0,0,"64030",57.1118872696616,40.5235055602393,2.64161548034847,2.16387651049821,0.0642338110723032,5.37155245092135,34749,24909
110070792205,2021,"FL",0,0,"64748",90.2146464646465,0,10.4166666666667,0.883838383838384,0.441919191919192,5.11363636363636,34423,1584
